anime_id,Name,Score,Genres,Episodes_Count,Status,Licensors,Source,Duration,Rating,Rank,class,Episodes
31163,Dimension W,7.19,"Action, Sci-Fi",12,Finished Airing,Funimation,Manga,24 min per ep,R - 17+ (violence & profanity),3085,0,Short
31173,Akagami no Shirayuki-hime 2nd Season,7.97,"Drama, Fantasy, Romance",12,Finished Airing,Funimation,Manga,24 min per ep,PG-13 - Teens 13 or older,614,0,Short
31174,Osomatsu-san,7.94,Comedy,25,Finished Airing,VIZ Media,Original,23 min per ep,R - 17+ (violence & profanity),670,0,Short
31178,Uta no☆Prince-sama♪ Maji Love Legend Star,7.14,"Comedy, Romance",13,Finished Airing,Sentai Filmworks,Visual novel,24 min per ep,PG-13 - Teens 13 or older,3367,0,Short
31181,Owarimonogatari,8.45,"Comedy, Mystery, Supernatural",12,Finished Airing,Aniplex of America,Light novel,26 min per ep,R - 17+ (violence & profanity),145,1,Short
31223,Phantasy Star Online 2 The Animation,6.31,"Action, Sci-Fi",12,Finished Airing,Sentai Filmworks,Game,24 min per ep,PG-13 - Teens 13 or older,7322,0,Short
31229,Servamp,6.89,"Action, Supernatural",12,Finished Airing,Funimation,Manga,24 min per ep,R - 17+ (violence & profanity),4452,0,Short
31240,Re:Zero kara Hajimeru Isekai Seikatsu,8.23,"Drama, Fantasy, Suspense",25,Finished Airing,Funimation,Light novel,25 min per ep,R - 17+ (violence & profanity),313,1,Short
31245,Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai,7.22,Romance,1,Finished Airing,Aniplex of America,Music,1 hr 3 min,PG-13 - Teens 13 or older,2919,0,Short
31251,Kidou Senshi Gundam: Tekketsu no Orphans,8.05,"Action, Drama, Sci-Fi",25,Finished Airing,Funimation,Original,24 min per ep,R - 17+ (violence & profanity),523,1,Short
31289,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,7.71,"Action, Adventure, Fantasy",1,Finished Airing,Funimation,Manga,1 hr 46 min,PG-13 - Teens 13 or older,1124,0,Short
31318,Comet Lucifer,5.84,"Action, Adventure, Fantasy",12,Finished Airing,Sentai Filmworks,Original,23 min per ep,PG-13 - Teens 13 or older,9532,0,Short
31326,High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,7.36,"Comedy, Ecchi",6,Finished Airing,Funimation,Light novel,3 min per ep,R+ - Mild Nudity,2255,0,Short
31338,Hundred,6.31,"Action, Romance, Sci-Fi, Ecchi",12,Finished Airing,Funimation,Light novel,24 min per ep,PG-13 - Teens 13 or older,7364,0,Short
